FRASES;POSITIVA;NEUTRA ;NEGATIVA;SENTIMENTO
adoro participar de jogos, brincadeiras ou gincanas;X;;;DESAFIO
o que mais me fltou foi maturidade em alguns momentos;;;X;BAIXA ESTIMA
é irritante não conseguir por em prática algo que trabalhei muito para planejar;;;X;IRRITABILIDADE
o maior objetivo da minha vida é viver financeirtamente confortável;X;;;esperaça
a maior parte das pesoas não sasbe que eu sou sensível apesar de parecer durona e que quando medizem que venci eu fico orgulhosa e quero conquistar outras coisas;X;;;ORGULHO
a coisa mais difissil é ter sabedoria para trabalhar com pessoas diferentes de mim;;X;;REFLEXÃO
com frequencia eu sinto necessidade de me aproximar novamente das drogas;;;X;INSEGURANÇA
minha familha é uma bosta;;;X;ODIO
eu penso que meus superiores são pessoas arrogantes e que acham que sabem tudo;;;X;INVEJA
minha vida será cheia de realizações e momentos felizes, mesmo sabendo que não será fácil;X;;;esperaça
minha infancia foi complicada, cheia de momentos tristes, embora existisse amor, mas faltaram muitas outras coisas;;;X;TRISTEZA
minha adolecencia foi agitada, cheia de experiencias novas, aventuras e coisas diferentes, meus pais devem ter sofrido, mas eu não me arrependo de nada;X;;;ORGULHO
gosto muito de comer, tanto faz o prato, importante é estar de barriga cheia;;;X;GULA
a coisa mais importante para mIm é a minha mãe e as pessoas que amo, sem elas a vida não tem sentido;X;;;CARINHO
quando vejo as coisas que meu visino tem e penso que queria ter as mesmas coisas que ele tem, até porque, ele não merece e eu sim.;;;X;INVEJA
nada me deixa mais bravo que fazer papel de besta ;;;X;RAIVA
o que me impede de ter sucesso é entender que o processo é ter paciencia e que muitas vezes o tempo faz parte da própria degustação ou do entendimento do sucesso;X;;;REZILIENCIA
ser afrontado e agredido, faz com que as questões racionais se percam e o ódio domine, levando inclusive a agrssão física.;;;X;RAIVA
devemos aceitar a vida como ela é, as expectativas, os desejos ou mesmos os sonhos nos levão para as frustrações, quando não esperamos nada, qualquer coisa é bom.;X;;;REZILIENCIA
entre cinema, teatro ou poesia, fico com a música;;X;;REFLEXÃO
será que nada vai acontecer, será que vamos ter que esconder?;;;X;MEDO
Às vezes no silêncio da noite, eu fico imaginando nós dois, eu fico ali sonhando acordado, juntando o antes, o agora e o depois.;X;;;AMOR
Eu ando pelo mundo divertindo gente, chorando ao telefone, e vendo doer a fome dos meninos que tem fome;;;X;SOLIDÃO
Aquele que exige muito de si e muito pouco dos outros, manter-se-á como objeto de ressentimento.;;;X;rancor
"O ressentimento é uma resistência mental, a não aceitação de algo que já aconteceu, um reavivamento emocional. É lutar novamente por algum evento do passado. Você não pode vencer, porque estaria tentando fazer o impossível; Mude o passado";;;X;rancor
É preciso muita bravura para enfrentar nossos inimigos, mas o mesmo para enfrentar nossos amigos.;X;;;amizade
Somos tão fortes quando estamos unidos, tão fracos quanto estamos divididos.;X;;;amizade
As almas mais escuras não são aquelas que escolhem existir no inferno do abismo, mais aquelas que escolhem se libertar do abismo e circular silenciosamente entre nós.;;;X;terror
Eu acredito no amor. Eu creio que pode existir alguma chance e eu sempre acho que pode ser diferente. Talvez essa seja a explicação de todas as decepções.;X;;;esperaça
não gosto de emprestar, ceder ou alugar, acho que que cada um que cuide do que é seu e se vire para conseguir as coisas, eu me vurei sozinho.;;;X;egoismo
ser inteligente ou prepara, depende do esforço de cada um, a sorte ajuda a qiuem esta preparado, o mundo gira para todos.;;X;;REFLEXÃO
sinto muita saudade das pessoas que já se foram, parenbtes amigos, enfim pessoas que amamos.;;;X;TRISTEZA
será que quando morremos e não fomos bons durante a vida, vamos para o inferno? Sofrer eternamente não me parce justo por apenas alguns anos de erros nesta vida;;;X;injustiça medo
o ambiente do restaurante é bonito, mas o atendimento a apresentação dos pratos e principalmente o preço, não condizem com o lugar e a propaganda.;;;X;frustração
canto o instante feliz que bem próximo aflora, pois purgado é o sofrer, e o direito à bonança por merecer já o fez a pobre humanidade.;;;X;esperaça
não tenho nada contra pessoas negras, mas prefiro trabalhar com pessoas como eu, as pessoas são diferentes, é assim.;;;x;preconceito
acho a diversidade interessante, pessoas diferentes trabalhando juntas tendem a encontrar soluções diferentes e criativas.;x;;;respeito
no meu trabalho busco ajudar e compartilhar informações, acredito que a colaboração estreita os laços entre as pessoas e reduz o tempo de realização das atividades.;x;;;colaboração
não tenho paciencia para crianças, animais ou frescuras, gosto de ser direto e reto, doa a quem doer.;;;x;intolerancia
gente pobre e feia existe e é  normal, apenas acho que esta gente deveria se relacionar com outras pessoas tipo elas, e não ficar interagindo ou participando de atividades ou lugares em que elas destoam, para o próprio bem delas, pra mi  tanto faz.;;;x;preconceito
