,0,1,2,3,4,5,6
0,,,,,,,
1,,,,,,,
2,R$ 447.014,R$ 233 Condominio,Francisco Zuneda Ferreira da Costa 297,"Bairro Alto, Curitiba", 223 m²  153 m² ,;,
3,Terreno à Venda - no Bairro Alto,R$ 1.036.998,R$ 589 Condominio,Luiz Kula 101,"Santo Inácio, Curitiba", 490 m²  413 m² ,;
4,Terreno à Venda - em Santo Inácio,R$ 253.680,de Santa Cândida 1324,"Santa Cândida, Curitiba", 142 m²  91 m² ,;,
5,Terreno à Venda - em Santa Cândida,R$ 431.342,R$ 372 Condominio,Fernando De Noronha 2590,"Santa Cândida, Curitiba", 221 m²  158 m² ,;
6,Terreno à Venda - em Santa Cândida,R$ 375.000,Fernando de Noronha 3450,"Santa Cândida, Curitiba", 220 m² ,;,
7,Terreno à Venda - em Santa Cândida,R$ 1.100.000,Augusto Zibarth 1245,"Uberaba, Curitiba", 412 m²  286 m² ,;,
8,Terreno à Venda - em Uberaba,R$ 630.000,R$ 340 Condominio,Francisco Zuneda Ferreira da Costa 297,"Bairro Alto, Curitiba", 271 m²  200 m² ,;
9,Terreno à Venda - no Bairro Alto,R$ 345.000,R$ 360 Condominio,Apolônio de Tiana 475,"Santa Cândida, Curitiba", 415 m²  183 m² ,;
10,Terreno à Venda - em Santa Cândida,R$ 740.000,R$ 233 Condominio,Francisco Zuneda Ferreira da Costa 297,"Bairro Alto, Curitiba", 289 m²  219 m² ,;
11,Terreno à Venda - no Bairro Alto,R$ 408.000,Fernando de Noronha 3450,"Santa Cândida, Curitiba", 381 m²  233 m² ,;,
12,Terreno à Venda - em Santa Cândida,R$ 165.000,Armando Della Bianca 329,"Cajuru, Curitiba", 151 m²  101 m² ,;,
13,Terreno à Venda - em Cajuru,R$ 287.924,de Santa Cândida 1324,"Santa Cândida, Curitiba", 154 m²  103 m² ,;,
14,Terreno à Venda - em Santa Cândida,R$ 450.000,R$ 556 Condominio,Cascavel 2971,"Boqueirão, Curitiba", 168 m² ,;
15,Terreno à Venda - no Boqueirão,R$ 435.540,de Santa Cândida 1324,"Santa Cândida, Curitiba", 207 m²  156 m² ,;,
16,Terreno à Venda - em Santa Cândida,R$ 942.480,Aníbal Requião 878,"Xaxim, Curitiba", 388 m²  308 m² ,;,
17,Terreno à Venda - em Xaxim,R$ 936.835,R$ 233 Condominio,Francisco Zuneda Ferreira da Costa 297,"Bairro Alto, Curitiba", 390 m²  320 m² ,;
18,Terreno à Venda - no Bairro Alto,R$ 420.387,R$ 372 Condominio,Fernando De Noronha 2590,"Santa Cândida, Curitiba", 217 m²  154 m² ,;
19,Terreno à Venda - em Santa Cândida,R$ 1.273.925,R$ 589 Condominio,Luiz Kula 101,"Santo Inácio, Curitiba", 579 m²  508 m² ,;
20,Terreno à Venda - em Santo Inácio,R$ 425.000,R$ 537 Condominio,Vereador Ângelo Burbello 2927,"Umbará, Curitiba", 469 m²  310 m² ,;
21,Terreno à Venda - em Umbará,R$ 542.660,Aníbal Requião 878,"Xaxim, Curitiba", 251 m²  172 m² ,;,
